mpg,cylinders,horsepower,weight,car_age,origin_japan,origin_usa
12.0,8,160.0,4456,53,False,True
13.0,8,190.0,4422,53,False,True
19.0,3,97.0,2330,53,True,False
15.0,8,150.0,3892,53,False,True
13.0,8,130.0,4098,53,False,True
13.0,8,140.0,4294,53,False,True
14.0,8,150.0,4077,53,False,True
18.0,4,112.0,2933,53,False,False
22.0,4,76.0,2511,53,False,False
21.0,4,87.0,2979,53,False,False
26.0,4,69.0,2189,53,False,False
22.0,4,86.0,2395,53,False,True
28.0,4,92.0,2288,53,True,False
23.0,4,97.0,2506,53,True,False
28.0,4,80.0,2164,53,False,True
27.0,4,88.0,2100,53,True,False
13.0,8,175.0,4100,52,False,True
14.0,8,150.0,3672,52,False,True
13.0,8,145.0,3988,52,False,True
14.0,8,137.0,4042,52,False,True
15.0,8,150.0,3777,52,False,True
12.0,8,198.0,4952,52,False,True
13.0,8,150.0,4464,52,False,True
13.0,8,158.0,4363,52,False,True
14.0,8,150.0,4237,52,False,True
13.0,8,215.0,4735,52,False,True
12.0,8,225.0,4951,52,False,True
13.0,8,175.0,3821,52,False,True
18.0,6,105.0,3121,52,False,True
16.0,6,100.0,3278,52,False,True
18.0,6,100.0,2945,52,False,True
18.0,6,88.0,3021,52,False,True
23.0,6,95.0,2904,52,False,True
26.0,4,46.0,1950,52,False,False
11.0,8,150.0,4997,52,False,True
12.0,8,167.0,4906,52,False,True
13.0,8,170.0,4654,52,False,True
12.0,8,180.0,4499,52,False,True
18.0,6,100.0,2789,52,False,True
20.0,4,88.0,2279,52,True,False
21.0,4,72.0,2401,52,False,True
22.0,4,94.0,2379,52,True,False
18.0,3,90.0,2124,52,True,False
19.0,4,85.0,2310,52,False,True
21.0,6,107.0,2472,52,False,True
26.0,4,90.0,2265,52,False,False
15.0,8,145.0,4082,52,False,True
16.0,8,230.0,4278,52,False,True
29.0,4,49.0,1867,52,False,False
24.0,4,75.0,2158,52,False,False
20.0,4,91.0,2582,52,False,False
19.0,4,112.0,2868,52,False,False
15.0,8,150.0,3399,52,False,True
24.0,4,110.0,2660,52,False,False
20.0,6,122.0,2807,52,True,False
11.0,8,180.0,3664,52,False,True
20.0,6,95.0,3102,51,False,True
19.0,6,100.0,2901,51,False,True
15.0,6,100.0,3336,51,False,True
31.0,4,67.0,1950,51,True,False
26.0,4,80.0,2451,51,False,True
32.0,4,65.0,1836,51,True,False
25.0,4,75.0,2542,51,False,True
16.0,6,100.0,3781,51,False,True
16.0,6,110.0,3632,51,False,True
18.0,6,105.0,3613,51,False,True
16.0,8,140.0,4141,51,False,True
13.0,8,150.0,4699,51,False,True
14.0,8,150.0,4457,51,False,True
14.0,8,140.0,4638,51,False,True
14.0,8,150.0,4257,51,False,True
29.0,4,83.0,2219,51,False,False
26.0,4,67.0,1963,51,False,False
26.0,4,78.0,2300,51,False,False
31.0,4,52.0,1649,51,True,False
32.0,4,61.0,2003,51,True,False
28.0,4,75.0,2125,51,False,True
24.0,4,75.0,2108,51,False,False
26.0,4,75.0,2246,51,False,False
24.0,4,97.0,2489,51,True,False
26.0,4,93.0,2391,51,True,False
31.0,4,67.0,2000,51,False,False
19.0,6,95.0,3264,50,False,True
18.0,6,105.0,3459,50,False,True
15.0,6,72.0,3432,50,False,True
15.0,6,72.0,3158,50,False,True
16.0,8,170.0,4668,50,False,True
15.0,8,145.0,4440,50,False,True
16.0,8,150.0,4498,50,False,True
14.0,8,148.0,4657,50,False,True
17.0,6,110.0,3907,50,False,True
16.0,6,105.0,3897,50,False,True
15.0,6,110.0,3730,50,False,True
18.0,6,95.0,3785,50,False,True
21.0,6,110.0,3039,50,False,True
20.0,8,110.0,3221,50,False,True
13.0,8,129.0,3169,50,False,True
29.0,4,75.0,2171,50,True,False
23.0,4,83.0,2639,50,False,True
20.0,6,100.0,2914,50,False,True
23.0,4,78.0,2592,50,False,True
24.0,4,96.0,2702,50,True,False
25.0,4,71.0,2223,50,False,False
24.0,4,97.0,2545,50,True,False
18.0,6,97.0,2984,50,False,True
29.0,4,70.0,1937,50,False,False
19.0,6,90.0,3211,50,False,True
23.0,4,95.0,2694,50,False,False
23.0,4,88.0,2957,50,False,False
22.0,4,98.0,2945,50,False,False
25.0,4,115.0,2671,50,False,False
33.0,4,53.0,1795,50,True,False
28.0,4,86.0,2464,49,False,False
25.0,4,81.0,2220,49,False,False
25.0,4,92.0,2572,49,False,True
26.0,4,79.0,2255,49,False,True
27.0,4,83.0,2202,49,False,False
17.5,8,140.0,4215,49,False,True
16.0,8,150.0,4190,49,False,True
15.5,8,120.0,3962,49,False,True
14.5,8,152.0,4215,49,False,True
22.0,6,100.0,3233,49,False,True
22.0,6,105.0,3353,49,False,True
24.0,6,81.0,3012,49,False,True
22.5,6,90.0,3085,49,False,True
29.0,4,52.0,2035,49,False,True
24.5,4,60.0,2164,49,False,True
29.0,4,70.0,1937,49,False,False
33.0,4,53.0,1795,49,True,False
20.0,6,100.0,3651,49,False,True
18.0,6,78.0,3574,49,False,True
18.5,6,110.0,3645,49,False,True
17.5,6,95.0,3193,49,False,True
29.5,4,71.0,1825,49,False,False
32.0,4,70.0,1990,49,True,False
28.0,4,75.0,2155,49,True,False
26.5,4,72.0,2565,49,False,True
20.0,4,102.0,3150,49,False,False
13.0,8,150.0,3940,49,False,True
19.0,4,88.0,3270,49,False,False
19.0,6,108.0,2930,49,True,False
16.5,6,120.0,3820,49,False,False
16.5,8,180.0,4380,49,False,True
13.0,8,145.0,4055,49,False,True
13.0,8,130.0,3870,49,False,True
13.0,8,150.0,3755,49,False,True
31.5,4,68.0,2045,48,True,False
30.0,4,80.0,2155,48,False,True
36.0,4,58.0,1825,48,False,False
25.5,4,96.0,2300,48,False,True
33.5,4,70.0,1945,48,True,False
17.5,8,145.0,3880,48,False,True
17.0,8,110.0,4060,48,False,True
15.5,8,145.0,4140,48,False,True
15.0,8,130.0,4295,48,False,True
17.5,6,110.0,3520,48,False,True
20.5,6,105.0,3425,48,False,True
19.0,6,100.0,3630,48,False,True
18.5,6,98.0,3525,48,False,True
16.0,8,180.0,4220,48,False,True
15.5,8,170.0,4165,48,False,True
15.5,8,190.0,4325,48,False,True
16.0,8,149.0,4335,48,False,True
29.0,4,78.0,1940,48,False,False
24.5,4,88.0,2740,48,False,True
26.0,4,75.0,2265,48,True,False
25.5,4,89.0,2755,48,False,True
30.5,4,63.0,2051,48,False,True
33.5,4,83.0,2075,48,False,True
30.0,4,67.0,1985,48,True,False
30.5,4,78.0,2190,48,False,False
22.0,6,97.0,2815,48,True,False
21.5,4,110.0,2600,48,False,False
21.5,3,110.0,2720,48,True,False
43.1,4,48.0,1985,47,False,False
36.1,4,66.0,1800,47,False,True
32.8,4,52.0,1985,47,True,False
39.4,4,70.0,2070,47,True,False
36.1,4,60.0,1800,47,True,False
19.9,8,110.0,3365,47,False,True
19.4,8,140.0,3735,47,False,True
20.2,8,139.0,3570,47,False,True
19.2,6,105.0,3535,47,False,True
20.5,6,95.0,3155,47,False,True
20.2,6,85.0,2965,47,False,True
25.1,4,88.0,2720,47,False,True
20.5,6,100.0,3430,47,False,True
19.4,6,90.0,3210,47,False,True
20.6,6,105.0,3380,47,False,True
20.8,6,85.0,3070,47,False,True
18.6,6,110.0,3620,47,False,True
18.1,6,120.0,3410,47,False,True
19.2,8,145.0,3425,47,False,True
17.7,6,165.0,3445,47,False,True
18.1,8,139.0,3205,47,False,True
17.5,8,140.0,4080,47,False,True
30.0,4,68.0,2155,47,False,True
27.5,4,95.0,2560,47,True,False
27.2,4,97.0,2300,47,True,False
30.9,4,75.0,2230,47,False,True
21.1,4,95.0,2515,47,True,False
23.2,4,105.0,2745,47,False,True
23.8,4,85.0,2855,47,False,True
23.9,4,97.0,2405,47,True,False
20.3,5,103.0,2830,47,False,False
17.0,6,125.0,3140,47,False,False
21.6,4,115.0,2795,47,False,False
16.2,6,133.0,3410,47,False,False
31.5,4,71.0,1990,47,False,False
29.5,4,68.0,2135,47,True,False
21.5,6,115.0,3245,46,False,True
19.8,6,85.0,2990,46,False,True
22.3,4,88.0,2890,46,False,True
20.2,6,90.0,3265,46,False,True
20.6,6,110.0,3360,46,False,True
17.0,8,130.0,3840,46,False,True
17.6,8,129.0,3725,46,False,True
16.5,8,138.0,3955,46,False,True
18.2,8,135.0,3830,46,False,True
16.9,8,155.0,4360,46,False,True
15.5,8,142.0,4054,46,False,True
19.2,8,125.0,3605,46,False,True
18.5,8,150.0,3940,46,False,True
31.9,4,71.0,1925,46,False,False
34.1,4,65.0,1975,46,True,False
35.7,4,80.0,1915,46,False,True
27.4,4,80.0,2670,46,False,True
25.4,5,77.0,3530,46,False,False
23.0,8,125.0,3900,46,False,True
27.2,4,71.0,3190,46,False,False
23.9,8,90.0,3420,46,False,True
34.2,4,70.0,2200,46,False,True
34.5,4,70.0,2150,46,False,True
31.8,4,65.0,2020,46,True,False
37.3,4,69.0,2130,46,False,False
28.4,4,90.0,2670,46,False,True
28.8,6,115.0,2595,46,False,True
26.8,6,115.0,2700,46,False,True
33.5,4,90.0,2556,46,False,True
41.5,4,76.0,2144,45,False,False
38.1,4,60.0,1968,45,True,False
32.1,4,70.0,2120,45,False,True
37.2,4,65.0,2019,45,True,False
28.0,4,90.0,2678,45,False,True
26.4,4,88.0,2870,45,False,True
24.3,4,90.0,3003,45,False,True
19.1,6,90.0,3381,45,False,True
34.3,4,78.0,2188,45,False,False
29.8,4,90.0,2711,45,True,False
31.3,4,75.0,2542,45,True,False
37.0,4,92.0,2434,45,True,False
32.2,4,75.0,2265,45,True,False
46.6,4,65.0,2110,45,True,False
27.9,4,105.0,2800,45,False,True
40.8,4,65.0,2110,45,True,False
44.3,4,48.0,2085,45,False,False
43.4,4,48.0,2335,45,False,False
36.4,5,67.0,2950,45,False,False
30.0,4,67.0,3250,45,False,False
44.6,4,67.0,1850,45,True,False
33.8,4,67.0,2145,45,True,False
29.8,4,62.0,1845,45,False,False
32.7,6,132.0,2910,45,True,False
23.7,3,100.0,2420,45,True,False
35.0,4,88.0,2500,45,False,False
32.4,4,72.0,2290,45,True,False
27.2,4,84.0,2490,44,False,True
26.6,4,84.0,2635,44,False,True
25.8,4,92.0,2620,44,False,True
23.5,6,110.0,2725,44,False,True
30.0,4,84.0,2385,44,False,True
39.1,4,58.0,1755,44,True,False
39.0,4,64.0,1875,44,False,True
35.1,4,60.0,1760,44,True,False
32.3,4,67.0,2065,44,True,False
37.0,4,65.0,1975,44,True,False
37.7,4,62.0,2050,44,True,False
34.1,4,68.0,1985,44,True,False
34.7,4,63.0,2215,44,False,True
34.4,4,65.0,2045,44,False,True
29.9,4,65.0,2380,44,False,True
33.0,4,74.0,2190,44,False,False
33.7,4,75.0,2210,44,True,False
32.4,4,75.0,2350,44,True,False
32.9,4,100.0,2615,44,True,False
31.6,4,74.0,2635,44,True,False
28.1,4,80.0,3230,44,False,False
30.7,6,76.0,3160,44,False,False
25.4,6,116.0,2900,44,True,False
24.2,6,120.0,2930,44,True,False
22.4,6,110.0,3415,44,False,True
26.6,8,105.0,3725,44,False,True
20.2,6,88.0,3060,44,False,True
17.6,6,85.0,3465,44,False,True
28.0,4,88.0,2605,43,False,True
27.0,4,88.0,2640,43,False,True
34.0,4,88.0,2395,43,False,True
31.0,4,85.0,2575,43,False,True
29.0,4,84.0,2525,43,False,True
27.0,4,90.0,2735,43,False,True
24.0,4,92.0,2865,43,False,True
36.0,4,74.0,1980,43,False,False
37.0,4,68.0,2025,43,True,False
31.0,4,68.0,1970,43,True,False
38.0,4,63.0,2125,43,False,True
36.0,4,70.0,2125,43,False,True
36.0,4,88.0,2160,43,True,False
36.0,4,75.0,2205,43,True,False
34.0,4,70.0,2245,43,True,False
38.0,4,67.0,1965,43,True,False
32.0,4,67.0,1965,43,True,False
38.0,4,67.0,1995,43,True,False
25.0,6,110.0,2945,43,False,True
38.0,6,85.0,3015,43,False,True
26.0,4,92.0,2585,43,False,True
22.0,6,112.0,2835,43,False,True
32.0,4,96.0,2665,43,True,False
36.0,4,84.0,2370,43,False,True
27.0,4,90.0,2950,43,False,True
27.0,4,86.0,2790,43,False,True
44.0,4,52.0,2130,43,False,False
32.0,4,84.0,2295,43,False,True
28.0,4,79.0,2625,43,False,True
31.0,4,82.0,2720,43,False,True
